04_igsin_prueba
ta051, 4082, 4082, 4082, 4082, 4082, 4082, 4082, 4082, 4082, 4082
ta052, 3921, 3921, 3921, 3921, 3921, 3921, 3921, 3921, 3921, 3921
ta053, 3927, 3927, 3927, 3927, 3927, 3927, 3927, 3927, 3927, 3927
ta054, 3969, 3969, 3969, 3969, 3969, 3969, 3969, 3969, 3969, 3969
ta055, 3835, 3835, 3835, 3835, 3835, 3835, 3835, 3835, 3835, 3835
ta056, 3914, 3914, 3914, 3914, 3914, 3914, 3914, 3914, 3914, 3914
ta057, 3952, 3952, 3952, 3952, 3952, 3952, 3952, 3952, 3952, 3952
ta058, 3938, 3938, 3938, 3938, 3938, 3938, 3938, 3938, 3938, 3938
ta059, 3952, 3952, 3952, 3952, 3952, 3952, 3952, 3952, 3952, 3952
ta060, 4079, 4079, 4079, 4079, 4079, 4079, 4079, 4079, 4079, 4079
