01_ilsrw_prueba 
ta051, 3927, 3926, 3918, 3918, 3928, 3925, 3917, 3913, 3918, 3923
ta052, 3774, 3751, 3753, 3773, 3771, 3759, 3773, 3769, 3775, 3769
ta053, 3715, 3730, 3714, 3734, 3731, 3722, 3730, 3722, 3733, 3722
ta054, 3785, 3793, 3791, 3773, 3794, 3796, 3798, 3792, 3791, 3778
ta055, 3693, 3676, 3680, 3685, 3686, 3686, 3693, 3677, 3685, 3680
ta056, 3752, 3744, 3752, 3750, 3759, 3758, 3751, 3758, 3737, 3753
ta057, 3784, 3785, 3788, 3780, 3770, 3769, 3779, 3783, 3777, 3790
ta058, 3764, 3775, 3779, 3765, 3764, 3777, 3779, 3774, 3787, 3772
ta059, 3807, 3827, 3815, 3823, 3813, 3819, 3818, 3829, 3820, 3817
ta060, 3830, 3807, 3825, 3829, 3836, 3813, 3830, 3818, 3817, 3829
