03_ig_prueba
ta051, 4013, 4028, 3983, 3976, 4003, 4036, 4013, 3984, 4020, 4012
ta052, 3872, 3867, 3860, 3844, 3851, 3888, 3866, 3834, 3859, 3890
ta053, 3849, 3865, 3850, 3832, 3821, 3832, 3876, 3866, 3916, 3908
ta054, 3881, 3905, 3907, 3892, 3923, 3948, 3950, 3921, 3899, 3914
ta055, 3813, 3729, 3740, 3777, 3795, 3781, 3788, 3763, 3803, 3755
ta056, 3882, 3798, 3834, 3846, 3853, 3877, 3857, 3788, 3832, 3793
ta057, 3894, 3887, 3870, 3862, 3883, 3864, 3856, 3923, 3906, 3822
ta058, 3854, 3896, 3875, 3890, 3904, 3887, 3865, 3869, 3857, 3863
ta059, 3895, 3904, 3864, 3878, 3850, 3890, 3902, 3887, 3911, 3891
ta060, 3893, 3983, 3905, 3936, 3923, 3973, 3942, 3906, 3942, 3913
