03_ig_prueba
ta051, 3893, 3893, 3881, 3893, 3869, 3893, 3893, 3893, 3893, 3893
ta052, 3714, 3714, 3714, 3721, 3715, 3712, 3708, 3708, 3729, 3717
ta053, 3659, 3656, 3666, 3658, 3671, 3662, 3658, 3647, 3658, 3654
ta054, 3738, 3728, 3739, 3738, 3739, 3733, 3739, 3744, 3727, 3733
ta055, 3632, 3625, 3632, 3624, 3626, 3625, 3629, 3622, 3623, 3624
ta056, 3696, 3692, 3691, 3696, 3693, 3690, 3690, 3694, 3688, 3688
ta057, 3716, 3718, 3718, 3705, 3716, 3722, 3716, 3719, 3722, 3719
ta058, 3701, 3721, 3723, 3720, 3727, 3713, 3700, 3713, 3700, 3712
ta059, 3766, 3760, 3763, 3770, 3761, 3764, 3750, 3764, 3754, 3768
ta060, 3767, 3769, 3767, 3767, 3767, 3767, 3767, 3768, 3767, 3768
