04_igsin_prueba
ta051, 3906, 3895, 3916, 3900, 3902, 3912, 3931, 3921, 3915, 3893
ta052, 3715, 3746, 3722, 3743, 3753, 3760, 3733, 3740, 3757, 3715
ta053, 3713, 3686, 3691, 3693, 3693, 3707, 3687, 3696, 3672, 3718
ta054, 3764, 3764, 3792, 3774, 3796, 3768, 3784, 3805, 3746, 3773
ta055, 3648, 3680, 3669, 3634, 3655, 3664, 3670, 3649, 3673, 3659
ta056, 3761, 3726, 3741, 3728, 3732, 3737, 3740, 3735, 3729, 3723
ta057, 3750, 3751, 3746, 3732, 3745, 3771, 3750, 3765, 3751, 3775
ta058, 3798, 3783, 3773, 3759, 3782, 3771, 3763, 3751, 3765, 3800
ta059, 3805, 3805, 3800, 3780, 3781, 3788, 3807, 3800, 3819, 3805
ta060, 3781, 3806, 3801, 3792, 3816, 3790, 3793, 3808, 3780, 3789
