00_ilsb_prueba
ta051, 3893, 3893, 3898, 3893, 3893, 3893, 3893, 3896, 3893, 3900
ta052, 3714, 3715, 3721, 3734, 3727, 3715, 3715, 3735, 3736, 3713
ta053, 3695, 3672, 3679, 3695, 3698, 3669, 3688, 3680, 3677, 3666
ta054, 3752, 3741, 3761, 3740, 3754, 3748, 3746, 3749, 3749, 3748
ta055, 3648, 3642, 3642, 3617, 3639, 3642, 3628, 3642, 3648, 3626
ta056, 3727, 3696, 3702, 3693, 3702, 3725, 3718, 3710, 3719, 3714
ta057, 3726, 3732, 3739, 3734, 3738, 3734, 3728, 3726, 3747, 3731
ta058, 3723, 3721, 3733, 3730, 3709, 3731, 3725, 3737, 3725, 3732
ta059, 3782, 3774, 3775, 3769, 3775, 3771, 3777, 3778, 3769, 3776
ta060, 3787, 3793, 3768, 3800, 3802, 3781, 3771, 3786, 3772, 3799
